,0
0,0.7406486429782629
1,-0.17715847178340563
2,0.6609523877168407
3,-0.43669829922358583
4,0.6495675003584338
5,0.06164165880949768
6,0.14138660792177762
7,-0.9982843780174495
8,-0.709739357671045
9,-0.6854572869317015
10,-0.19644664783018995
11,0.8503488743372932
12,2.1959736493486384
13,-0.5037691576234967
14,0.3802355929892226
15,-0.07410009003156054
16,-1.7624621063323966
17,1.3806570775538909
18,-1.2930603173670412
19,-0.18762887785867818
20,-1.6139832512381664
21,-1.4145036101199606
22,-0.7297168933782016
23,-0.43223528689618496
24,-0.07709986200805122
25,1.2977731489036826
26,-0.154994757117754
27,0.2608595159866565
28,2.757454234953055
29,-0.26270340744098475
30,-0.14010447626978978
31,-0.6509720341096826
32,-0.6785078266792246
33,-0.5692274219353572
34,-0.6995162490700564
35,-0.20287745097341636
36,-1.786931515834676
37,0.02588697307279147
38,0.6892642050343254
39,0.6917615655167019
40,-0.19732807745870806
41,-0.5210504106544499
42,0.8881920768872549
43,0.49071454653413876
44,-1.3023841452436653
45,0.49804649913075094
46,0.2375266093238023
47,1.005521761987331
48,0.33363925999243116
49,0.8688789043873305
50,0.6543499156201468
51,0.12108201800185156
52,-0.3477157623322318
53,0.9939288382123325
54,-0.40813870409079966
55,0.23974085087904642
56,-1.0160999577321657
57,0.006238504329815843
58,0.21141393567391595
59,0.7039690081962234
60,2.1436457905150945
61,-0.5170879700503604
62,0.117987622019944
63,-0.9278889999468322
64,0.29484572484096655
65,0.004475253673289439
66,0.2428277980418342
67,0.8233815245376025
68,-0.45352929118333035
69,0.6332582412133072
70,-0.695433776607239
71,0.6084600026236935
72,0.40385671249236144
73,-1.012067388981009
74,-1.118435635244339
75,-0.3511769482694968
76,-0.2594214398843316
77,0.436483216777008
78,0.7981433843126832
79,0.6902016590577059
80,-0.9882044366387577
81,-1.8186705548774642
82,-2.426348874171733
83,-0.15021721329487028
84,-0.9205428134508731
85,1.4625718952931082
86,-0.09331570540364975
87,-2.0495153441855156
88,-1.1829036626661174
89,1.1146197540233052
90,0.0017762060455632142
91,1.604705636539873
92,-0.44568856886199415
93,-0.733443886939738
94,-0.8045905386188575
95,-1.8769935925054437
96,-0.7809105566234037
97,0.45363859680884044
98,1.9352392109733534
99,-0.44947586516397514
100,-1.370871815781709
101,-1.7154615537271567
102,0.9957828471238491
103,0.5290341111807634
104,-0.590457529360791
105,0.18361566268015916
106,-0.012915671479004399
107,-0.46925703935283947
108,0.8698533939383811
109,-0.9075222099331909
110,-0.6666817784651557
111,0.7063805660015037
112,0.7015731327651157
113,2.1507800348466835
114,2.1372281505431534
115,-0.31253364423627095
116,-0.8269663057512444
117,-0.8944657422748984
118,-0.9305781003237662
119,-0.7693136061934047
120,0.11942624944509928
121,0.2791911383890032
122,1.997494141569688
123,-0.016894157707223082
124,-1.5991450290806737
125,2.4121866798932583
126,-0.8439252896963433
127,0.41528213844074957
128,1.5503783282325214
129,0.08176529673687112
130,-1.4171700429152996
131,0.08524448414488248
132,0.017228993876799475
133,-1.9676225760318988
134,-0.5698180533678026
135,0.0008179598224085673
136,1.4836176389784388
137,-1.2021261914350236
138,1.4758933028391787
139,0.1852353329497294
140,0.5630529719241785
141,0.7109303876771617
142,-0.6999949895028819
143,-0.6639421485412641
144,1.4123502503182745
145,0.6234997163518883
146,1.4952042854433918
147,0.3932587040901726
148,-0.5811506768912978
149,0.3106836209078166
150,-0.8707613344647355
151,1.4095239223869445
152,0.5001476299170411
153,1.3069775606162688
154,-2.005698930136716
155,-0.022536205300097124
156,0.6455073722179641
157,0.696413107264287
158,-1.8379964505002597
159,-0.8330427200556033
160,1.3911129103035171
161,-0.2800192190166063
162,-1.3644706342833945
163,1.281111222975177
164,-0.09995471432294936
165,0.25431600706626795
166,-0.07233765616959971
167,0.1361292080464154
168,-0.6805014358241601
169,-0.2613137810868246
170,-0.29322365666476913
171,-0.7644326895719263
172,0.0756342336537664
173,0.9519083019420632
174,-1.631766678422752
175,-0.6095820610533271
176,0.29239871238768317
177,1.855028841230642
178,1.293837920122584
179,-1.8511604419120404
180,-0.10273313182903428
181,0.7424420454816264
182,-0.23155498097973706
183,0.6390739611436276
184,1.6511845153596825
185,0.24560436803474714
186,-0.29279341262820435
187,0.7811382415324261
188,0.010125997981594676
189,0.8477883132366958
190,0.005195736151110603
191,0.31639875619563546
